GeneID	RNA.WT1	RNA.WT2	RNA.KO1	RNA.KO2	RPF.WT1	RPF.WT2	RPF.KO1	RPF.KO2
ENSG00000006016	7	7	10	9	0	4	3	0
ENSG00000006025	1	0	2	2	0	0	0	0
ENSG00000006042	314	309	249	229	154	223	10	21
ENSG00000006047	21	29	10	11	0	1	1	0
ENSG00000006059	0	0	0	0	0	0	0	0
ENSG00000006062	720	726	698	860	39	56	31	58
ENSG00000006071	0	0	0	0	0	1	1	1
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	1150	1266	1046	1253	160	205	56	83
ENSG00000006125	4199	4655	4124	4648	637	1445	1129	2028
ENSG00000006128	0	0	0	0	0	3	0	1
ENSG00000006194	1009	1026	832	949	59	93	57	104
ENSG00000006210	123	109	119	98	71	82	25	46
ENSG00000006282	186	139	131	188	8	19	12	17
ENSG00000006283	25	21	33	32	1	2	1	2
ENSG00000006327	7024	7046	4743	5982	1128	1093	327	483
ENSG00000006377	0	0	0	0	0	0	0	0
ENSG00000006432	944	931	888	913	9	17	14	36
ENSG00000006451	948	937	846	1125	1147	1893	1522	2420
ENSG00000006453	2144	2186	1773	2077	766	1473	1117	2444
ENSG00000006459	175	132	173	231	49	87	104	178
ENSG00000006468	254	289	255	335	65	93	191	231
ENSG00000006530	488	428	305	392	212	416	364	532
ENSG00000006534	79	86	46	83	2	1	1	2
ENSG00000006555	0	0	0	0	0	0	0	0
ENSG00000006576	678	553	654	796	861	1868	1332	1900
ENSG00000006606	0	4	0	1	0	1	1	1
ENSG00000006607	536	490	779	819	82	163	209	376
ENSG00000006611	1	2	6	1	0	2	0	0
ENSG00000006625	737	659	608	764	221	234	89	104
ENSG00000006634	342	265	293	395	68	151	288	370
ENSG00000006638	0	1	0	0	0	0	0	0
ENSG00000006652	827	834	970	1209	339	658	885	1299
ENSG00000006659	0	0	0	0	1	0	3	0
ENSG00000006695	534	573	504	593	133	328	327	461
ENSG00000006704	519	483	416	506	43	55	60	73
ENSG00000006712	1802	1931	1323	1666	557	1118	786	1269
ENSG00000006715	1138	1165	1368	1938	593	1558	1171	1806
ENSG00000006740	10	6	8	7	0	0	0	2
ENSG00000006744	2690	2911	2241	2413	181	433	369	599
ENSG00000006747	7	3	4	1	3	3	3	6
ENSG00000006756	0	0	0	0	0	0	0	1
ENSG00000006757	0	0	0	0	0	0	0	0
ENSG00000006788	0	0	0	0	0	3	1	0
ENSG00000006831	3062	3115	2960	3510	1054	1912	1494	2494
ENSG00000006837	12	4	6	9	4	9	9	20
ENSG00000007001	1	0	0	0	0	1	0	0
ENSG00000007038	0	0	0	0	0	0	0	0
ENSG00000007047	1036	1063	932	1119	54	96	68	109
ENSG00000007062	884	937	711	907	3302	6959	2430	3565
ENSG00000007080	1939	1912	1293	1769	299	233	109	167
ENSG00000007129	0	0	0	0	0	1	1	0
ENSG00000007168	1651	1706	1703	2062	1102	2565	2741	4235
ENSG00000007171	0	0	1	0	0	0	0	0
ENSG00000007174	0	0	0	0	0	1	1	0
ENSG00000007202	5769	6028	5222	5480	1034	1592	868	1768
ENSG00000007216	2	0	0	0	0	1	0	0
ENSG00000007237	15	3	0	0	0	0	4	1
ENSG00000007255	130	169	75	77	46	26	7	18
ENSG00000007264	77	85	65	63	3	2	3	6
ENSG00000007306	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0
ENSG00000007314	0	0	3	0	1	1	1	1
ENSG00000007341	281	314	346	348	265	542	394	727
ENSG00000007350	0	0	0	0	0	0	0	0
ENSG00000007372	2	2	1	3	0	0	0	0
ENSG00000007376	1681	1809	1142	1330	36	35	9	16
ENSG00000007384	649	618	571	658	125	149	76	91
ENSG00000007392	567	532	476	605	145	319	195	405
ENSG00000007402	8	13	14	8	5	6	1	3
ENSG00000007516	57	55	34	77	10	12	10	23
ENSG00000007520	1449	1509	1224	1473	50	89	92	89
ENSG00000007541	619	689	462	547	76	64	17	30
ENSG00000007545	247	224	232	250	31	48	24	50
ENSG00000007866	858	1017	841	876	55	66	23	74
ENSG00000007908	0	0	0	1	0	0	0	0
ENSG00000007923	1294	1421	1116	1250	745	1254	1046	1578
ENSG00000007933	0	0	0	0	0	0	0	1
ENSG00000007944	22	26	11	17	8	10	4	14
ENSG00000007952	45	44	20	26	3	13	0	5
ENSG00000007968	957	943	575	672	48	67	26	40
ENSG00000008018	3430	3671	3151	3750	4484	9702	8038	10249
ENSG00000008056	5	5	7	12	1	15	6	16
ENSG00000008083	447	422	425	493	36	45	48	77
ENSG00000008086	39	32	48	67	10	20	13	27
ENSG00000008118	0	0	0	0	0	0	0	0
ENSG00000008128	31	46	26	24	28	46	78	106
ENSG00000008130	1762	1751	1310	1506	82	109	126	182
ENSG00000008196	0	0	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0	0	0
ENSG00000008226	7	3	3	6	1	0	0	0
ENSG00000008256	845	760	711	806	57	74	134	167
ENSG00000008277	102	105	75	82	169	533	159	263
ENSG00000008282	1518	1685	1218	1638	4846	12427	8698	11817
ENSG00000008283	1495	1453	1305	1353	199	214	57	96
ENSG00000008294	1989	1860	2072	2535	1383	2869	2171	3597
ENSG00000008300	575	524	462	593	20	20	11	20
ENSG00000008311	133	118	86	127	76	164	141	230
ENSG00000008323	4	0	2	0	1	0	0	0
ENSG00000008324	252	227	196	261	47	77	38	67
ENSG00000008382	271	227	145	187	26	24	8	19
ENSG00000008394	0	0	0	6	1	0	0	0
ENSG00000008405	416	392	480	561	211	614	718	1261
ENSG00000008438	2	1	2	0	0	0	0	0
ENSG00000008441	189	207	165	189	3	4	4	8
ENSG00000008513	93	114	52	51	3	3	2	9
ENSG00000008516	4	1	10	9	3	7	2	7
ENSG00000008517	4679	5154	4196	4905	4002	4797	901	1938
ENSG00000008710	3097	2832	2800	3338	21	17	11	17
ENSG00000008735	415	499	508	573	48	64	39	70
ENSG00000008838	2346	2467	2271	2517	431	564	298	377
ENSG00000008853	189	227	119	123	18	10	3	3
ENSG00000008869	588	551	660	794	526	1037	795	1457
ENSG00000008952	2342	2280	2679	3663	19019	34298	21819	38047
ENSG00000008988	9416	9615	8180	8687	111	187	62	84
ENSG00000009307	15941	15229	19170	24536	2811	6607	6602	9594
ENSG00000009335	5396	5160	3387	4000	846	1897	1607	2718
ENSG00000009413	288	323	423	489	75	218	182	283
ENSG00000009694	1	5	4	8	3	6	6	3
ENSG00000009709	0	0	0	0	0	0	0	0
ENSG00000009724	31	24	27	28	0	0	0	0
ENSG00000009765	0	0	0	0	0	0	0	0
ENSG00000009780	73	48	69	84	118	242	94	295
ENSG00000009790	0	0	0	0	0	0	0	0
ENSG00000009830	1126	1122	1037	1093	657	1405	864	1410
ENSG00000009844	899	822	960	1334	1142	2322	1168	2710
ENSG00000009950	535	559	458	528	30	23	10	25
ENSG00000009954	3738	3506	2910	3798	989	2077	1371	2484
ENSG00000010017	853	821	873	1045	409	946	724	1183
ENSG00000010030	0	0	0	0	0	0	0	0
ENSG00000010072	217	233	209	286	112	293	233	423
ENSG00000010165	1716	1701	1348	1404	311	365	249	320
ENSG00000010219	67	97	72	91	20	24	81	74
ENSG00000010244	2524	2509	2381	2783	1953	4081	2260	4417
ENSG00000010256	5159	5855	4788	5522	1889	3346	3635	5134
ENSG00000010270	867	883	863	1020	1116	2103	1172	2416
ENSG00000010278	8	5	0	0	16	17	123	178
ENSG00000010282	0	0	0	0	0	0	0	0
ENSG00000010292	4015	4274	3676	3852	1407	2583	2066	3345
ENSG00000010295	382	318	242	292	80	84	26	60
ENSG00000010310	13	7	8	12	2	5	3	8
ENSG00000010318	122	112	130	132	41	164	72	156
ENSG00000010319	38	39	38	34	17	20	9	19
ENSG00000010322	1469	1397	1310	1500	135	163	102	143
ENSG00000010327	0	0	1	3	0	0	0	0
ENSG00000010361	91	112	67	75	22	45	7	21
ENSG00000010379	1	0	0	2	0	0	0	0
ENSG00000010404	145	151	143	138	6	0	0	3
ENSG00000010438	0	0	0	0	0	0	0	0
ENSG00000010539	451	419	349	462	157	348	309	546
ENSG00000010610	0	0	0	1	0	0	0	1
ENSG00000010626	147	156	115	113	229	568	326	600
ENSG00000010671	0	0	0	2	0	1	0	0
ENSG00000010704	538	539	409	420	551	1058	544	999
ENSG00000010803	272	274	248	232	7	24	10	12
ENSG00000010810	1	2	2	2	4	5	9	9
ENSG00000010818	687	576	786	975	90	214	164	249
ENSG00000010932	0	1	0	0	0	1	0	3
ENSG00000011007	2441	2426	2133	2607	138	312	424	591
ENSG00000011009	1713	1685	1313	1568	15	20	9	21
ENSG00000011021	568	548	527	752	237	498	398	654
ENSG00000011028	1	3	0	3	0	1	4	4
ENSG00000011052	2	0	3	1	0	0	0	0
ENSG00000011083	0	0	0	0	0	0	0	0
ENSG00000011105	395	422	299	322	508	945	492	841
ENSG00000011114	431	410	470	577	59	119	127	177
ENSG00000011132	271	334	257	326	17	20	8	10
ENSG00000011143	287	274	242	234	95	200	157	171
ENSG00000011198	498	442	436	559	140	385	494	548
ENSG00000011201	0	0	3	4	4	3	1	1
ENSG00000011243	1023	1069	836	1042	218	355	314	412
ENSG00000011258	171	177	193	264	78	264	203	453
ENSG00000011260	1455	1270	1235	1648	655	1058	756	1219
ENSG00000011275	2680	2540	2502	2821	455	1073	996	1712
ENSG00000011295	422	408	450	567	161	284	323	479
ENSG00000011304	16592	17740	15129	17854	1051	1585	1426	1738
ENSG00000011332	87	106	70	109	29	23	21	34
ENSG00000011347	373	404	578	585	26	44	33	60
ENSG00000011376	1244	1354	1047	1145	263	537	482	823
ENSG00000011405	657	712	1323	1498	812	1944	1548	2550
ENSG00000011422	42	56	29	33	13	20	17	7
ENSG00000011426	2163	2099	2251	2918	1714	4041	4771	7868
ENSG00000011451	2514	2865	2164	2687	58	80	40	45
ENSG00000011454	457	420	581	646	437	813	787	1198
ENSG00000011465	2	3	0	0	0	0	0	2
ENSG00000011478	649	707	474	535	271	270	144	100
ENSG00000011485	2286	2349	1652	1881	777	1181	863	1322
ENSG00000011523	290	256	196	243	29	56	34	66
ENSG00000011566	777	746	1029	1263	521	1260	1206	2245
ENSG00000011590	18	18	10	11	1	0	0	0
ENSG00000011600	0	0	0	0	0	0	0	0
ENSG00000011638	70	53	41	47	2	10	4	3
ENSG00000011677	103	158	137	127	86	158	82	104
ENSG00000012048	745	778	680	923	291	600	567	1013
ENSG00000012061	546	544	526	613	96	131	145	186
ENSG00000012124	4	2	1	2	0	0	0	0
ENSG00000012171	66	74	33	57	5	2	0	4
ENSG00000012174	827	844	742	901	2908	6525	4871	7735
ENSG00000012211	306	325	259	284	11	8	8	8
ENSG00000012223	0	0	0	0	0	0	0	0
ENSG00000012232	2335	2421	1495	1610	281	469	212	270
ENSG00000012504	0	0	1	0	3	0	2	15
ENSG00000012660	3410	3140	3211	3913	4619	10195	6383	8332
ENSG00000012779	0	0	0	0	0	0	0	0
ENSG00000012817	0	0	0	0	1	0	0	1
ENSG00000012822	277	332	353	366	94	85	38	105
ENSG00000012963	720	738	683	739	371	774	544	930
ENSG00000012983	353	286	415	491	192	425	562	849
ENSG00000013016	103	135	99	122	6	16	14	11
ENSG00000013275	2889	3130	2810	3081	1754	4015	2575	3446
ENSG00000013288	1153	1094	1131	1213	223	266	159	199
ENSG00000013293	0	0	0	0	0	0	0	0
ENSG00000013297	0	0	2	0	0	3	0	0
ENSG00000013306	5040	5600	4090	4988	845	1351	288	762
ENSG00000013364	1362	1432	1191	1422	153	228	170	319
ENSG00000013374	693	661	455	592	356	802	705	1249
ENSG00000013375	1712	1623	1810	2391	1513	3559	3420	6205
ENSG00000013392	280	209	283	352	156	323	318	475
ENSG00000013441	234	171	288	410	543	993	635	1073
ENSG00000013503	536	473	472	639	183	422	351	621
ENSG00000013523	735	705	551	551	128	275	194	318
ENSG00000013561	258	212	254	292	50	156	140	267
ENSG00000013563	396	432	191	248	146	203	79	114
ENSG00000013573	1353	1322	962	1139	50	87	43	74
ENSG00000013583	558	678	460	475	98	178	249	385
ENSG00000013588	26	13	21	23	0	0	1	0
ENSG00000013619	228	230	145	127	9	2	6	5
ENSG00000013725	0	0	0	0	0	0	0	1
ENSG00000013810	3279	3319	2670	3048	1405	1596	1204	1953
ENSG00000014123	318	370	511	702	767	2329	3159	5358
ENSG00000014138	240	227	136	175	7	13	3	13
ENSG00000014164	582	684	520	591	21	23	15	21
ENSG00000014216	4457	4939	4539	5267	475	496	425	504
ENSG00000014257	0	0	0	0	0	0	1	6
ENSG00000014641	2326	2168	2084	2554	3070	6299	11902	15920
ENSG00000014824	796	739	761	1094	610	1326	1528	2090
ENSG00000014914	34	35	26	23	3	8	6	19
ENSG00000014919	1145	1240	1008	1168	1071	1889	1480	1546
ENSG00000015133	355	351	421	484	73	136	136	177
ENSG00000015153	264	228	278	362	100	246	118	354
ENSG00000015171	726	672	648	857	144	335	363	509
ENSG00000015285	18	16	4	8	3	9	2	9
ENSG00000015413	0	0	3	4	1	5	0	1
ENSG00000015475	241	283	279	302	24	52	45	63
ENSG00000015479	7	11	11	17	0	0	0	0
ENSG00000015520	4	8	4	7	0	3	1	2
ENSG00000015532	767	805	733	865	199	283	118	179
ENSG00000015568	3	7	7	8	0	0	0	0
ENSG00000015592	0	0	0	0	0	0	0	0
ENSG00000015676	1552	1653	1353	1527	209	433	402	453
ENSG00000016082	48	29	34	45	42	45	83	84
ENSG00000016391	2350	2275	2406	2580	125	192	143	195
ENSG00000016402	9	21	5	7	9	19	15	21
ENSG00000016490	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	2
ENSG00000016864	781	791	795	895	985	2211	1488	2546
ENSG00000017260	1112	1067	1146	1372	2042	4667	2878	5085
ENSG00000017427	0	0	0	0	0	0	0	1
ENSG00000017483	7	4	2	3	0	0	0	2
ENSG00000017797	1574	1565	1716	1901	191	508	513	890
ENSG00000018189	391	337	399	548	101	229	233	366
ENSG00000018236	1371	1279	1510	1894	4588	10958	9041	13848
ENSG00000018280	9	16	13	19	0	2	1	1
ENSG00000018408	261	274	252	280	80	115	147	175
ENSG00000018510	3256	3216	3991	5265	1791	4927	4778	7915
ENSG00000018607	0	0	0	0				
ENSG00000018610	507	514	473	532	86	154	109	154
ENSG00000018625	0	0	0	0	0	2	0	1
ENSG00000018699	696	792	769	946	873	1783	1567	2442
ENSG00000018869	4	2	7	1	0	0	1	0
ENSG00000019102	12	8	11	10	0	0	0	0
ENSG00000019144	575	569	538	595	137	178	72	145
ENSG00000019169	0	0	0	0	0	0	0	0
ENSG00000019186	97	83	38	54	5	6	115	168
ENSG00000019485	28	31	24	27	5	2	0	3
ENSG00000019505	0	0	0	0	0	0	0	0
ENSG00000019549	0	0	0	0	0	0	0	0
ENSG00000019582	1	0	5	7	0	0	0	1
ENSG00000019991	0	0	0	0	3	16	53	113
ENSG00000019995	304	326	337	482	158	354	243	444
ENSG00000020129	1244	1324	977	1151	37	46	31	38
ENSG00000020181	6	3	2	11	3	9	12	10
ENSG00000020219	1	0	0	0				
ENSG00000020256	693	858	876	966	74	125	104	165
ENSG00000020426	207	177	180	242	251	433	472	975
ENSG00000020577	759	746	676	683	25	59	50	91
ENSG00000020633	839	764	787	981	4	8	5	4
ENSG00000020922	445	472	468	545	272	667	526	873
ENSG00000021300	63	70	36	46	2	2	2	0
ENSG00000021355	1064	870	784	1013	262	564	808	1123
ENSG00000021461	0	0	0	0	1	0	0	0
ENSG00000021488	148	167	135	148	154	259	108	157
ENSG00000021574	437	477	491	669	528	1218	1102	1792
ENSG00000021645	2	0	0	0	0	0	0	1
ENSG00000021762	0	0	0	3	0	1	0	0
ENSG00000021776	970	914	938	1249	521	1135	927	1647
ENSG00000021826	16033	16041	3609	3962	3045	6866	14023	23907
ENSG00000021852	31	23	27	19	80	156	168	256
ENSG00000022267	48	55	83	133	12	16	13	27
ENSG00000022277	2001	2258	1801	2045	1008	1931	1280	1832
ENSG00000022355	0	0	0	0	0	0	1	0
ENSG00000022556	2127	2236	1619	1919	691	1164	693	1340
ENSG00000022567	602	503	519	593	48	61	33	45
ENSG00000022840	4388	4827	4013	4707	127	243	237	344
ENSG00000022976	155	152	110	152	29	55	75	99
ENSG00000023041	1286	1242	1345	1706	303	668	329	670
ENSG00000023171	1	10	5	5	0	0	1	5
ENSG00000023191	5115	5357	5279	6173	549	532	573	743
ENSG00000023228	3229	3055	3222	4119	2138	5392	6244	9272
ENSG00000023287	773	769	1388	1582	804	1821	2102	3417
ENSG00000023318	599	659	654	863	3889	9361	8085	10418
ENSG00000023330	2318	2526	2140	2467	450	904	980	1184
ENSG00000023445	222	224	350	434	17	41	60	86
ENSG00000023516	835	789	1155	1319	493	1479	1126	1850
ENSG00000023572	433	461	431	535	346	783	750	1216
ENSG00000023608	36	32	34	55	166	364	354	695
ENSG00000023697	784	756	690	813	482	991	1022	1180
ENSG00000023734	4014	3644	3937	4895	3040	7418	6725	11842
ENSG00000023839	7824	7311	8233	9459	4099	7912	5424	8687
ENSG00000023892	28	41	20	22	3	1	0	2
ENSG00000023902	220	216	223	241	16	24	12	31
ENSG00000023909	3356	3299	4115	5487	1938	4345	7489	8356
ENSG00000024048	762	773	793	1008	510	1193	936	1798
ENSG00000024422	1	0	0	0	0	0	0	0
ENSG00000024526	384	338	446	601	142	300	199	362
ENSG00000024862	136	134	136	181	38	64	59	124
ENSG00000025039	439	463	690	860	32	76	88	135
ENSG00000025156	222	251	279	357	343	777	636	1220
ENSG00000025293	629	684	650	789	102	234	237	444
ENSG00000025423	48	39	31	23	53	130	121	213
ENSG00000025434	728	700	761	892	68	85	85	116
ENSG00000025708	184	172	175	204	2	9	4	2
ENSG00000025770	2161	2262	1716	1972	261	397	239	382
ENSG00000025772	1428	1650	1276	1414	366	787	759	1218
ENSG00000025796	2291	2412	3043	3884	6697	16782	17859	29191
ENSG00000025800	2278	2073	1965	2025	564	1195	1110	1590
ENSG00000026025	2376	2526	2111	2582	910	1919	3245	5048
ENSG00000026036	46	32	37	41	0	0	0	0
ENSG00000026103	0	0	0	0	0	0	5	5
ENSG00000026297	357	288	159	193	307	718	592	546
ENSG00000026508	2	6	21	14	4	2	34	52
ENSG00000026559	9	6	2	2	0	0	1	0
ENSG00000026652	42	27	5	11	12	34	31	37
ENSG00000026751	0	0	0	0	0	0	0	0
ENSG00000026950	256	232	173	231	61	111	153	174
ENSG00000027001	538	603	499	585	317	695	534	775
ENSG00000027075	230	235	324	421	21	43	44	51
ENSG00000027644	0	0	0	0	0	0	0	0
ENSG00000027697	516	444	529	772	2424	5450	5384	8790
ENSG00000027847	694	786	536	603	160	216	88	111
ENSG00000027869	0	0	0	0	0	0	0	0
ENSG00000028116	200	184	282	351	213	551	897	1462
ENSG00000028137	0	1	0	1	0	0	0	0
ENSG00000028203	481	452	550	689	364	687	597	953
ENSG00000028277	0	3	0	1	1	1	0	0
ENSG00000028310	1365	1376	1250	1320	134	184	153	174
ENSG00000028528	1497	1623	1510	1707	494	1049	580	1223
ENSG00000028839	247	223	245	311	91	210	259	302
ENSG00000029153	643	555	509	723	22	49	55	84
ENSG00000029363	1514	1465	1575	2142	382	735	695	1485
ENSG00000029364	1624	1643	1609	1942	243	460	268	361
ENSG00000029534	0	0	1	1	0	0	0	0
ENSG00000029559	0	0	0	0	0	1	0	0
ENSG00000029639	145	163	147	166	130	243	360	477
ENSG00000029725	724	699	774	1003	341	884	938	1358
ENSG00000029993	880	926	693	806	140	314	165	340
ENSG00000030066	2050	2000	2021	2727	951	2204	1499	3367
ENSG00000030110	1160	1235	922	1012	11	4	1	6
ENSG00000030304	0	0	0	0	0	0	0	0
ENSG00000030419	51	61	51	113	3	8	9	19
ENSG00000030582	4233	4542	4923	5347	2265	3133	1133	1604
ENSG00000031003	409	362	439	541	190	752	144	686
ENSG00000031081	24	16	7	13	1	6	2	6
ENSG00000031691	84	109	105	145	175	307	380	505
ENSG00000031698	4858	5405	7161	7684	2827	4960	7370	11015
ENSG00000031823	2122	2169	1941	2184	191	250	152	208
ENSG00000032219	82	78	139	165	121	382	304	701
ENSG00000032389	645	713	530	643	104	122	108	131
ENSG00000032444	1613	1746	1686	1904	258	357	126	229
ENSG00000032742	189	201	263	340	305	765	491	849
ENSG00000033011	1400	1573	895	990	642	967	263	468
ENSG00000033030	313	299	341	443	143	302	427	559
ENSG00000033050	766	840	532	587	0	0	0	0
ENSG00000033100	1401	1352	939	989	388	589	161	302
ENSG00000033122	32	24	9	17	0	0	0	1
ENSG00000033170	206	211	229	227	274	615	296	483
ENSG00000033178	562	594	770	862	790	1893	2115	3484
ENSG00000033327	266	256	329	391	13	24	53	82
ENSG00000033627	2342	2662	2736	2995	3053	7053	4057	6452
ENSG00000033800	668	804	835	960	571	936	1107	1573
ENSG00000033867	459	428	559	642	786	1702	2776	4452
ENSG00000034053	536	671	445	517	38	54	31	51
ENSG00000034152	3581	3756	3176	3723	90	123	97	196
ENSG00000034239	0	0	0	0	0	0	0	0
ENSG00000034510	10388	10839	5454	7728	825	669	1784	1727
ENSG00000034533	84	69	88	102	72	131	60	123
ENSG00000034677	190	219	202	256	101	220	202	278
ENSG00000034693	283	294	284	340	1171	2983	1925	3356
ENSG00000034713	821	797	874	1091	295	772	838	1397
ENSG00000034971	0	0	0	0	0	2	0	0
ENSG00000035115	14	9	20	19	2	4	4	8
ENSG00000035141	2350	2194	1940	2284	206	362	253	521
